rt_source,count,is_from_party
@klauslederer,69,1
@Tobias_Schulze,26,1
@OpferNaziGewalt,20,
@katjakipping,19,1
@dielinkeberlin,13,1
@NiklasSchenker,12,1
@Katina_Schubert,10,1
@pascalmeiser,10,1
@LinksfraktionB,9,1
@dieLinke,8,1
@dielinketk,7,1
@LinkePankow,7,1
@ElifEralpBerlin,5,1
@SenIAS_Berlin,5,
@dielinkewedding,4,1
@k_ronneburg,4,1
@LinkeNeukoelln,4,1
@nikschrader,4,1
@schirdewan,4,1
@DIE_LINKE_MaHe,3,1
@F_Brychcy,3,1
@ndaktuell,3,
@schatzbln,3,1
@SenKultEu,3,
@taz_berlin,3,
@UlrichSchneider,3,
@brunnersandra1,2,1
@dielinke_queer,2,1
@DieLinkeSpandau,2,1
@dwenteignen,2,
@Janine_Wissler,2,1
@LINKE_SZ,2,1
@MaxMenkenke,2,1
@MerksteSelba,2,1
@phoenix_de,2,
@rosaluxstiftung,2,
@TiloJung,2,
@AmadeuAntonio,1,
@ardmoma,1,
@armutsbetroffen,1,
@berlin_dbv,1,
@berlinerzeitung,1,
@BerlingegenNazi,1,
@bertschulz,1,
@bodoramelow,1,1
@bzberlin,1,
@der_neukoellner,1,1
@dienagel_,1,1
@ElkeBreitenbach,1,1
@f_leschewitz,1,1
@Gruftizecke,1,
@HendrikjeKlein,1,1
@JoergSchindler,1,1
@jorinde_schulz,1,1
@LAF_Berlin,1,
@LAGSportB,1,1
@lars_leschewitz,1,1
@lgbeutin,1,1
@linke_flensburg,1,1
@Linkebvvp,1,1
@Linksfraktion,1,1
@LinksjugendTK,1,1
@LoetzschMdB,1,1
@MD_BBr,1,
@NorbertMertens,1,
@radioeins,1,
@RainerRutz,1,
@rbb24,1,
@rbb24Inforadio,1,
@regina_kittler,1,1
@retep_kire,1,
@RLS_Cities,1,
@RoterKreisel,1,1
@schluesselburg,1,1
@schlueter_paul,1,1
@sebastiank,1,1
@Tagesspiegel,1,
@teufelsmuehle,1,1
@thomas2theleft,1,1
@tobirieder,1,1